exp_id,system,system_type,division_type,num_stations,product_mix,automation_level,hd_count,tl_count,sa_count,rd_count,total_cars,hd_depth,tl_depth,sa_depth,rd_depth,total_planned_components,depth_degree,S1_BOSP,S2_BAT,S3_RT,S4_FT,S5_FAXS,S6_SSA,S7_CHS,S8_BSA,automation_degree,auto_step_instances,delivery_days,cars_per_day,interarrival_time,schedule_file,system_file,hd_file,tl_file,sa_file,rd_file,opening_hour,closing_hour,num_weeks,IND01,IND02,IND03,IND04,IND05,IND06,IND01_in_threshold,IND02_in_threshold,IND03_in_threshold,IND04_in_threshold,IND05_in_threshold,IND06_in_threshold,threshold_violations,is_feasible,IND01_normalized,IND02_normalized,IND03_normalized,IND04_normalized,IND05_normalized,IND06_normalized
exp001,system_01,line,labor,3,hd,a00,40,0,0,0,40,14,9,7,5,560,1.0,1,1,1,1,1,1,1,1,0.0,0,5,8,1.0,sch_hd_a00.json,system_01.json,car_hd_a00.json,,,,7,17,1,61.74,59.54,8252.64,2262.02,1229360,47883.28,True,True,True,True,True,True,0,True,0.1,1.0,0.1,0.5,0.91,0.92
exp002,system_01,line,labor,3,hd,a02,40,0,0,0,40,14,9,7,5,560,1.0,1,1,2,2,1,1,1,1,0.29,160,5,8,1.0,sch_hd_a02.json,system_01.json,car_hd_a02.json,,,,7,17,1,56.37,53.98,7482.42,2163.22,1229725,47885.72,True,True,True,True,True,True,0,True,0.23,0.81,0.24,0.52,0.91,0.92
exp003,system_01,line,labor,3,hd,a04,40,0,0,0,40,14,9,7,5,560,1.0,1,1,2,2,1,2,1,2,0.57,320,5,8,1.0,sch_hd_a04.json,system_01.json,car_hd_a04.json,,,,7,17,1,56.14,53.09,7358.12,1567.68,1286960,50116.0,True,True,True,True,True,True,0,True,0.23,0.78,0.26,0.67,1.0,1.0
exp004,system_01,line,labor,3,hd,a06,40,0,0,0,40,14,9,7,5,560,1.0,1,1,2,2,2,2,2,2,0.71,400,5,8,1.0,sch_hd_a06.json,system_01.json,car_hd_a06.json,,,,7,17,1,49.42,46.85,6493.19,1105.0,1286960,50116.0,True,True,True,True,True,True,0,True,0.4,0.57,0.41,0.79,1.0,1.0
exp005,system_01,line,labor,3,balanced,a00,10,10,10,10,40,14,9,7,5,350,0.62,1,1,1,1,1,1,1,1,0.0,0,5,8,1.0,sch_balanced_a00.json,system_01.json,car_hd_a00.json,car_tl_a00.json,car_sa_a00.json,car_rd_a00.json,7,17,1,41.85,40.5,5613.3,672.18,814950,30340.2,True,True,True,True,True,True,0,True,0.58,0.36,0.57,0.9,0.28,0.28
exp006,system_01,line,labor,3,balanced,a02,10,10,10,10,40,14,9,7,5,350,0.62,1,1,2,2,1,1,1,1,0.4,140,5,8,1.0,sch_balanced_a02.json,system_01.json,car_hd_a02.json,car_tl_a02.json,car_sa_a02.json,car_rd_a02.json,7,17,1,38.05,36.52,5061.1,563.75,814950,30340.2,True,True,True,True,True,True,0,True,0.67,0.22,0.67,0.92,0.28,0.28
exp007,system_01,line,labor,3,balanced,a04,10,10,10,10,40,14,9,7,5,350,0.62,1,1,2,2,1,2,1,2,0.63,220,5,8,1.0,sch_balanced_a04.json,system_01.json,car_hd_a04.json,car_tl_a04.json,car_sa_a04.json,car_rd_a04.json,7,17,1,32.2,30.55,4233.9,462.95,814950,30340.2,True,True,True,True,True,True,0,True,0.81,0.02,0.82,0.95,0.28,0.28
exp008,system_01,line,labor,3,balanced,a06,10,10,10,10,40,14,9,7,5,350,0.62,1,1,2,2,2,2,2,2,0.69,240,5,8,1.0,sch_balanced_a06.json,system_01.json,car_hd_a06.json,car_tl_a06.json,car_sa_a06.json,car_rd_a06.json,7,17,1,30.3,28.73,3982.0,429.72,814950,30340.2,True,False,True,True,True,True,1,False,0.86,-0.04,0.86,0.96,0.28,0.28
exp009,system_02,workshop,quantity,4,hd,a00,40,0,0,0,40,14,9,7,5,560,1.0,1,1,1,1,1,1,1,1,0.0,0,5,8,1.0,sch_hd_a00.json,system_02.json,car_hd_a00.json,,,,7,17,1,63.6,46.0,8500.8,422.05,1286960,50116.0,True,True,True,True,True,True,0,True,0.05,0.54,0.05,0.96,1.0,1.0
exp010,system_02,workshop,quantity,4,hd,a02,40,0,0,0,40,14,9,7,5,560,1.0,1,1,2,2,1,1,1,1,0.29,160,5,8,1.0,sch_hd_a02.json,system_02.json,car_hd_a02.json,,,,7,17,1,58.8,42.24,7805.6,420.3,1286960,50116.0,True,True,True,True,True,True,0,True,0.17,0.41,0.18,0.96,1.0,1.0
exp011,system_02,workshop,quantity,4,hd,a04,40,0,0,0,40,14,9,7,5,560,1.0,1,1,2,2,1,2,1,2,0.57,320,5,8,1.0,sch_hd_a04.json,system_02.json,car_hd_a04.json,,,,7,17,1,52.4,37.14,6864.0,407.05,1286960,50116.0,True,True,True,True,True,True,0,True,0.32,0.24,0.35,0.96,1.0,1.0
exp012,system_02,workshop,quantity,4,hd,a06,40,0,0,0,40,14,9,7,5,560,1.0,1,1,2,2,2,2,2,2,0.71,400,5,8,1.0,sch_hd_a06.json,system_02.json,car_hd_a06.json,,,,7,17,1,47.2,33.55,6199.6,392.32,1286960,50116.0,True,True,True,True,True,True,0,True,0.45,0.12,0.47,0.97,1.0,1.0
exp013,system_02,workshop,quantity,4,balanced,a00,10,10,10,10,40,14,9,7,5,350,0.62,1,1,1,1,1,1,1,1,0.0,0,5,8,1.0,sch_balanced_a00.json,system_02.json,car_hd_a00.json,car_tl_a00.json,car_sa_a00.json,car_rd_a00.json,7,17,1,39.6,28.77,5316.3,308.38,814950,30340.2,True,False,True,True,True,True,1,False,0.63,-0.04,0.62,0.99,0.28,0.28
exp014,system_02,workshop,quantity,4,balanced,a02,10,10,10,10,40,14,9,7,5,350,0.62,1,1,2,2,1,1,1,1,0.4,140,5,8,1.0,sch_balanced_a02.json,system_02.json,car_hd_a02.json,car_tl_a02.json,car_sa_a02.json,car_rd_a02.json,7,17,1,35.8,25.78,4764.1,299.62,814950,30340.2,True,False,True,True,True,True,1,False,0.73,-0.14,0.72,0.99,0.28,0.28
exp015,system_02,workshop,quantity,4,balanced,a04,10,10,10,10,40,14,9,7,5,350,0.62,1,1,2,2,1,2,1,2,0.63,220,5,8,1.0,sch_balanced_a04.json,system_02.json,car_hd_a04.json,car_tl_a04.json,car_sa_a04.json,car_rd_a04.json,7,17,1,32.2,22.91,4233.9,292.82,814950,30340.2,True,False,True,True,True,True,1,False,0.81,-0.24,0.82,0.99,0.28,0.28
exp016,system_02,workshop,quantity,4,balanced,a06,10,10,10,10,40,14,9,7,5,350,0.62,1,1,2,2,2,2,2,2,0.69,240,5,8,1.0,sch_balanced_a06.json,system_02.json,car_hd_a06.json,car_tl_a06.json,car_sa_a06.json,car_rd_a06.json,7,17,1,30.3,21.55,3982.0,289.02,814950,30340.2,True,False,True,True,True,True,1,False,0.86,-0.29,0.86,0.99,0.28,0.28
exp017,system_03,line,labor,5,hd,a00,40,0,0,0,40,14,9,7,5,560,1.0,1,1,1,1,1,1,1,1,0.0,0,5,8,1.0,sch_hd_a00.json,system_03.json,car_hd_a00.json,,,,7,17,1,65.81,38.08,8795.38,3223.52,1271697,49575.39,True,True,True,True,True,True,0,True,0.0,0.27,0.0,0.26,0.98,0.98
exp018,system_03,line,labor,5,hd,a02,40,0,0,0,40,14,9,7,5,560,1.0,1,1,2,2,1,1,1,1,0.29,160,5,8,1.0,sch_hd_a02.json,system_03.json,car_hd_a02.json,,,,7,17,1,60.88,35.01,8087.86,4252.38,1249216,48843.4,True,True,True,True,True,True,0,True,0.12,0.17,0.13,0.0,0.94,0.95
exp019,system_03,line,labor,5,hd,a04,40,0,0,0,40,14,9,7,5,560,1.0,1,1,2,2,1,2,1,2,0.57,320,5,8,1.0,sch_hd_a04.json,system_03.json,car_hd_a04.json,,,,7,17,1,55.91,31.73,7328.53,3110.75,1284264,50025.1,True,True,True,True,True,True,0,True,0.24,0.06,0.26,0.29,1.0,1.0
exp020,system_03,line,labor,5,hd,a06,40,0,0,0,40,14,9,7,5,560,1.0,1,1,2,2,2,2,2,2,0.71,400,5,8,1.0,sch_hd_a06.json,system_03.json,car_hd_a06.json,,,,7,17,1,50.59,28.78,6648.84,3305.4,1282481,49938.99,True,False,True,True,True,True,1,False,0.37,-0.04,0.38,0.24,0.99,0.99
exp021,system_03,line,labor,5,balanced,a00,10,10,10,10,40,14,9,7,5,350,0.62,1,1,1,1,1,1,1,1,0.0,0,5,8,1.0,sch_balanced_a00.json,system_03.json,car_hd_a00.json,car_tl_a00.json,car_sa_a00.json,car_rd_a00.json,7,17,1,39.6,23.01,5316.3,443.32,814950,30340.2,True,False,True,True,True,True,1,False,0.63,-0.24,0.62,0.95,0.28,0.28
exp022,system_03,line,labor,5,balanced,a02,10,10,10,10,40,14,9,7,5,350,0.62,1,1,2,2,1,1,1,1,0.4,140,5,8,1.0,sch_balanced_a02.json,system_03.json,car_hd_a02.json,car_tl_a02.json,car_sa_a02.json,car_rd_a02.json,7,17,1,35.8,20.62,4764.1,433.65,814950,30340.2,True,False,True,True,True,True,1,False,0.73,-0.32,0.72,0.96,0.28,0.28
exp023,system_03,line,labor,5,balanced,a04,10,10,10,10,40,14,9,7,5,350,0.62,1,1,2,2,1,2,1,2,0.63,220,5,8,1.0,sch_balanced_a04.json,system_03.json,car_hd_a04.json,car_tl_a04.json,car_sa_a04.json,car_rd_a04.json,7,17,1,32.2,18.33,4233.9,388.18,814950,30340.2,True,False,True,True,True,True,1,False,0.81,-0.4,0.82,0.97,0.28,0.28
exp024,system_03,line,labor,5,balanced,a06,10,10,10,10,40,14,9,7,5,350,0.62,1,1,2,2,2,2,2,2,0.69,240,5,8,1.0,sch_balanced_a06.json,system_03.json,car_hd_a06.json,car_tl_a06.json,car_sa_a06.json,car_rd_a06.json,7,17,1,30.3,17.24,3982.0,390.9,814950,30340.2,True,False,True,True,True,True,1,False,0.86,-0.43,0.86,0.97,0.28,0.28
exp025,system_05,workshop,quantity,5,hd,a00,40,0,0,0,40,14,9,7,5,560,1.0,1,1,1,1,1,1,1,1,0.0,0,5,8,1.0,sch_hd_a00.json,system_05.json,car_hd_a00.json,,,,7,17,1,63.6,36.8,8500.8,425.15,1286960,50116.0,True,True,True,True,True,True,0,True,0.05,0.23,0.05,0.96,1.0,1.0
exp026,system_05,workshop,quantity,5,hd,a02,40,0,0,0,40,14,9,7,5,560,1.0,1,1,2,2,1,1,1,1,0.29,160,5,8,1.0,sch_hd_a02.json,system_05.json,car_hd_a02.json,,,,7,17,1,58.8,33.79,7805.6,418.85,1286960,50116.0,True,True,True,True,True,True,0,True,0.17,0.13,0.18,0.96,1.0,1.0
exp027,system_05,workshop,quantity,5,hd,a04,40,0,0,0,40,14,9,7,5,560,1.0,1,1,2,2,1,2,1,2,0.57,320,5,8,1.0,sch_hd_a04.json,system_05.json,car_hd_a04.json,,,,7,17,1,52.4,29.71,6864.0,392.05,1286960,50116.0,True,False,True,True,True,True,1,False,0.32,-0.01,0.35,0.97,1.0,1.0
exp028,system_05,workshop,quantity,5,hd,a06,40,0,0,0,40,14,9,7,5,560,1.0,1,1,2,2,2,2,2,2,0.71,400,5,8,1.0,sch_hd_a06.json,system_05.json,car_hd_a06.json,,,,7,17,1,47.2,26.83,6199.6,378.75,1286960,50116.0,True,False,True,True,True,True,1,False,0.45,-0.11,0.47,0.97,1.0,1.0
exp029,system_05,workshop,quantity,5,balanced,a00,10,10,10,10,40,14,9,7,5,350,0.62,1,1,1,1,1,1,1,1,0.0,0,5,8,1.0,sch_balanced_a00.json,system_05.json,car_hd_a00.json,car_tl_a00.json,car_sa_a00.json,car_rd_a00.json,7,17,1,39.6,23.01,5316.3,309.68,814950,30340.2,True,False,True,True,True,True,1,False,0.63,-0.24,0.62,0.99,0.28,0.28
exp030,system_05,workshop,quantity,5,balanced,a02,10,10,10,10,40,14,9,7,5,350,0.62,1,1,2,2,1,1,1,1,0.4,140,5,8,1.0,sch_balanced_a02.json,system_05.json,car_hd_a02.json,car_tl_a02.json,car_sa_a02.json,car_rd_a02.json,7,17,1,35.8,20.62,4764.1,300.58,814950,30340.2,True,False,True,True,True,True,1,False,0.73,-0.32,0.72,0.99,0.28,0.28
exp031,system_05,workshop,quantity,5,balanced,a04,10,10,10,10,40,14,9,7,5,350,0.62,1,1,2,2,1,2,1,2,0.63,220,5,8,1.0,sch_balanced_a04.json,system_05.json,car_hd_a04.json,car_tl_a04.json,car_sa_a04.json,car_rd_a04.json,7,17,1,32.2,18.33,4233.9,292.75,814950,30340.2,True,False,True,True,True,True,1,False,0.81,-0.4,0.82,0.99,0.28,0.28
exp032,system_05,workshop,quantity,5,balanced,a06,10,10,10,10,40,14,9,7,5,350,0.62,1,1,2,2,2,2,2,2,0.69,240,5,8,1.0,sch_balanced_a06.json,system_05.json,car_hd_a06.json,car_tl_a06.json,car_sa_a06.json,car_rd_a06.json,7,17,1,30.3,17.23,3982.0,289.77,814950,30340.2,True,False,True,True,True,True,1,False,0.86,-0.43,0.86,0.99,0.28,0.28
exp033,system_01,line,labor,3,front,a00,25,15,0,0,40,14,9,7,5,485,0.87,1,1,1,1,1,1,1,1,0.0,0,5,8,1.0,sch_front_a00.json,system_01.json,car_hd_a00.json,car_tl_a00.json,,,7,17,1,52.82,51.08,7079.49,1180.18,1012520,39024.7,True,True,True,True,True,True,0,True,0.31,0.71,0.31,0.77,0.58,0.6
exp034,system_01,line,labor,3,front,a02,25,15,0,0,40,14,9,7,5,485,0.87,1,1,2,2,1,1,1,1,0.33,160,5,8,1.0,sch_front_a02.json,system_01.json,car_hd_a02.json,car_tl_a02.json,,,7,17,1,45.9,44.05,6104.45,742.58,1012520,39024.7,True,True,True,True,True,True,0,True,0.48,0.48,0.48,0.88,0.58,0.6
exp035,system_01,line,labor,3,front,a04,25,15,0,0,40,14,9,7,5,485,0.87,1,1,2,2,1,2,1,2,0.54,260,5,8,1.0,sch_front_a04.json,system_01.json,car_hd_a04.json,car_tl_a04.json,,,7,17,1,41.9,39.8,5515.95,649.95,1012520,39024.7,True,True,True,True,True,True,0,True,0.58,0.33,0.59,0.9,0.58,0.6
exp036,system_01,line,labor,3,front,a06,25,15,0,0,40,14,9,7,5,485,0.87,1,1,2,2,2,2,2,2,0.64,310,5,8,1.0,sch_front_a06.json,system_01.json,car_hd_a06.json,car_tl_a06.json,,,7,17,1,38.65,36.81,5100.7,615.48,1012520,39024.7,True,True,True,True,True,True,0,True,0.66,0.23,0.66,0.91,0.58,0.6
exp037,system_02,workshop,quantity,4,front,a00,25,15,0,0,40,14,9,7,5,485,0.87,1,1,1,1,1,1,1,1,0.0,0,5,8,1.0,sch_front_a00.json,system_02.json,car_hd_a00.json,car_tl_a00.json,,,7,17,1,48.45,35.19,6502.65,350.2,1012520,39024.7,True,True,True,True,True,True,0,True,0.42,0.18,0.41,0.98,0.58,0.6
exp038,system_02,workshop,quantity,4,front,a02,25,15,0,0,40,14,9,7,5,485,0.87,1,1,2,2,1,1,1,1,0.33,160,5,8,1.0,sch_front_a02.json,system_02.json,car_hd_a02.json,car_tl_a02.json,,,7,17,1,43.65,31.43,5807.45,340.9,1012520,39024.7,True,True,True,True,True,True,0,True,0.54,0.05,0.54,0.98,0.58,0.6
exp039,system_02,workshop,quantity,4,front,a04,25,15,0,0,40,14,9,7,5,485,0.87,1,1,2,2,1,2,1,2,0.54,260,5,8,1.0,sch_front_a04.json,system_02.json,car_hd_a04.json,car_tl_a04.json,,,7,17,1,39.65,28.24,5218.95,334.62,1012520,39024.7,True,False,True,True,True,True,1,False,0.63,-0.06,0.64,0.98,0.58,0.6
exp040,system_02,workshop,quantity,4,front,a06,25,15,0,0,40,14,9,7,5,485,0.87,1,1,2,2,2,2,2,2,0.64,310,5,8,1.0,sch_front_a06.json,system_02.json,car_hd_a06.json,car_tl_a06.json,,,7,17,1,36.4,25.99,4803.7,331.25,1012520,39024.7,True,False,True,True,True,True,1,False,0.71,-0.14,0.72,0.98,0.58,0.6
exp041,system_03,line,labor,5,front,a00,25,15,0,0,40,14,9,7,5,485,0.87,1,1,1,1,1,1,1,1,0.0,0,5,8,1.0,sch_front_a00.json,system_03.json,car_hd_a00.json,car_tl_a00.json,,,7,17,1,52.2,30.3,6997.65,695.38,1012520,39024.7,True,True,True,True,True,True,0,True,0.33,0.01,0.32,0.89,0.58,0.6
exp042,system_03,line,labor,5,front,a02,25,15,0,0,40,14,9,7,5,485,0.87,1,1,2,2,1,1,1,1,0.33,160,5,8,1.0,sch_front_a02.json,system_03.json,car_hd_a02.json,car_tl_a02.json,,,7,17,1,47.4,27.29,6302.45,821.72,1012520,39024.7,True,False,True,True,True,True,1,False,0.45,-0.09,0.45,0.86,0.58,0.6
exp043,system_03,line,labor,5,front,a04,25,15,0,0,40,14,9,7,5,485,0.87,1,1,2,2,1,2,1,2,0.54,260,5,8,1.0,sch_front_a04.json,system_03.json,car_hd_a04.json,car_tl_a04.json,,,7,17,1,39.65,22.6,5218.95,626.08,1012520,39024.7,True,False,True,True,True,True,1,False,0.63,-0.25,0.64,0.91,0.58,0.6
exp044,system_03,line,labor,5,front,a06,25,15,0,0,40,14,9,7,5,485,0.87,1,1,2,2,2,2,2,2,0.64,310,5,8,1.0,sch_front_a06.json,system_03.json,car_hd_a06.json,car_tl_a06.json,,,7,17,1,36.4,20.8,4803.7,628.8,1012520,39024.7,True,False,True,True,True,True,1,False,0.71,-0.31,0.72,0.91,0.58,0.6
exp045,system_05,workshop,quantity,5,front,a00,25,15,0,0,40,14,9,7,5,485,0.87,1,1,1,1,1,1,1,1,0.0,0,5,8,1.0,sch_front_a00.json,system_05.json,car_hd_a00.json,car_tl_a00.json,,,7,17,1,48.45,28.15,6502.65,346.65,1012520,39024.7,True,False,True,True,True,True,1,False,0.42,-0.06,0.41,0.98,0.58,0.6
exp046,system_05,workshop,quantity,5,front,a02,25,15,0,0,40,14,9,7,5,485,0.87,1,1,2,2,1,1,1,1,0.33,160,5,8,1.0,sch_front_a02.json,system_05.json,car_hd_a02.json,car_tl_a02.json,,,7,17,1,43.65,25.15,5807.45,333.75,1012520,39024.7,True,False,True,True,True,True,1,False,0.54,-0.16,0.54,0.98,0.58,0.6
exp047,system_05,workshop,quantity,5,front,a04,25,15,0,0,40,14,9,7,5,485,0.87,1,1,2,2,1,2,1,2,0.54,260,5,8,1.0,sch_front_a04.json,system_05.json,car_hd_a04.json,car_tl_a04.json,,,7,17,1,39.65,22.59,5218.95,325.08,1012520,39024.7,True,False,True,True,True,True,1,False,0.63,-0.25,0.64,0.98,0.58,0.6
