exp_id,system,system_type,division_type,num_stations,product_mix,automation_level,hd_count,tl_count,sa_count,rd_count,total_cars,hd_depth,tl_depth,sa_depth,rd_depth,total_planned_components,depth_degree,S1_BOSP,S2_BAT,S3_RT,S4_FT,S5_FAXS,S6_SSA,S7_CHS,S8_BSA,automation_degree,auto_step_instances,delivery_days,cars_per_day,interarrival_time,schedule_file,system_file,hd_file,tl_file,sa_file,rd_file,opening_hour,closing_hour,num_weeks,IND01,IND02,IND03,IND04,IND05,IND06,IND01_in_threshold,IND02_in_threshold,IND03_in_threshold,IND04_in_threshold,IND05_in_threshold,IND06_in_threshold,threshold_violations,is_feasible,IND01_normalized,IND02_normalized,IND03_normalized,IND04_normalized,IND05_normalized,IND06_normalized,IND01_weighted,IND02_weighted,IND03_weighted,IND04_weighted,IND05_weighted,IND06_weighted,economic_score,environmental_score,total_weighted_score,rank_all,rank
exp004,system_01,line,labor,3,hd,a06,40,0,0,0,40,14,9,7,5,560,1.0,1,1,2,2,2,2,2,2,0.71,400,5,8,1.0,sch_hd_a06.json,system_01.json,car_hd_a06.json,,,,7,17,1,49.42,46.85,6493.19,1105.0,1286960,50116.0,True,True,True,True,True,True,0,True,0.4,0.57,0.41,0.79,1.0,1.0,0.0664,0.0946,0.0681,0.1311,0.166,0.166,0.4598,0.2324,0.6922,1,1
exp012,system_02,workshop,quantity,4,hd,a06,40,0,0,0,40,14,9,7,5,560,1.0,1,1,2,2,2,2,2,2,0.71,400,5,8,1.0,sch_hd_a06.json,system_02.json,car_hd_a06.json,,,,7,17,1,47.2,33.55,6199.6,392.32,1286960,50116.0,True,True,True,True,True,True,0,True,0.45,0.12,0.47,0.97,1.0,1.0,0.0747,0.0199,0.078,0.161,0.166,0.166,0.4249,0.2407,0.6656,2,2
exp003,system_01,line,labor,3,hd,a04,40,0,0,0,40,14,9,7,5,560,1.0,1,1,2,2,1,2,1,2,0.57,320,5,8,1.0,sch_hd_a04.json,system_01.json,car_hd_a04.json,,,,7,17,1,56.14,53.09,7358.12,1567.68,1286960,50116.0,True,True,True,True,True,True,0,True,0.23,0.78,0.26,0.67,1.0,1.0,0.0382,0.1295,0.0432,0.1112,0.166,0.166,0.4499,0.2042,0.6541,3,3
exp011,system_02,workshop,quantity,4,hd,a04,40,0,0,0,40,14,9,7,5,560,1.0,1,1,2,2,1,2,1,2,0.57,320,5,8,1.0,sch_hd_a04.json,system_02.json,car_hd_a04.json,,,,7,17,1,52.4,37.14,6864.0,407.05,1286960,50116.0,True,True,True,True,True,True,0,True,0.32,0.24,0.35,0.96,1.0,1.0,0.0531,0.0398,0.0581,0.1594,0.166,0.166,0.4233,0.2191,0.6424,4,4
exp010,system_02,workshop,quantity,4,hd,a02,40,0,0,0,40,14,9,7,5,560,1.0,1,1,2,2,1,1,1,1,0.29,160,5,8,1.0,sch_hd_a02.json,system_02.json,car_hd_a02.json,,,,7,17,1,58.8,42.24,7805.6,420.3,1286960,50116.0,True,True,True,True,True,True,0,True,0.17,0.41,0.18,0.96,1.0,1.0,0.0282,0.0681,0.0299,0.1594,0.166,0.166,0.4234,0.1942,0.6176,6,5
exp036,system_01,line,labor,3,front,a06,25,15,0,0,40,14,9,7,5,485,0.87,1,1,2,2,2,2,2,2,0.64,310,5,8,1.0,sch_front_a06.json,system_01.json,car_hd_a06.json,car_tl_a06.json,,,7,17,1,38.65,36.81,5100.7,615.48,1012520,39024.7,True,True,True,True,True,True,0,True,0.66,0.23,0.66,0.91,0.58,0.6,0.1096,0.0382,0.1096,0.1511,0.0963,0.0996,0.3952,0.2092,0.6044,7,6
exp002,system_01,line,labor,3,hd,a02,40,0,0,0,40,14,9,7,5,560,1.0,1,1,2,2,1,1,1,1,0.29,160,5,8,1.0,sch_hd_a02.json,system_01.json,car_hd_a02.json,,,,7,17,1,56.37,53.98,7482.42,2163.22,1229725,47885.72,True,True,True,True,True,True,0,True,0.23,0.81,0.24,0.52,0.91,0.92,0.0382,0.1345,0.0398,0.0863,0.1511,0.1527,0.4117,0.1909,0.6026,8,7
exp009,system_02,workshop,quantity,4,hd,a00,40,0,0,0,40,14,9,7,5,560,1.0,1,1,1,1,1,1,1,1,0.0,0,5,8,1.0,sch_hd_a00.json,system_02.json,car_hd_a00.json,,,,7,17,1,63.6,46.0,8500.8,422.05,1286960,50116.0,True,True,True,True,True,True,0,True,0.05,0.54,0.05,0.96,1.0,1.0,0.0083,0.0896,0.0083,0.1594,0.166,0.166,0.4233,0.1743,0.5976,10,8
exp035,system_01,line,labor,3,front,a04,25,15,0,0,40,14,9,7,5,485,0.87,1,1,2,2,1,2,1,2,0.54,260,5,8,1.0,sch_front_a04.json,system_01.json,car_hd_a04.json,car_tl_a04.json,,,7,17,1,41.9,39.8,5515.95,649.95,1012520,39024.7,True,True,True,True,True,True,0,True,0.58,0.33,0.59,0.9,0.58,0.6,0.0963,0.0548,0.0979,0.1494,0.0963,0.0996,0.3984,0.1959,0.5943,11,9
exp001,system_01,line,labor,3,hd,a00,40,0,0,0,40,14,9,7,5,560,1.0,1,1,1,1,1,1,1,1,0.0,0,5,8,1.0,sch_hd_a00.json,system_01.json,car_hd_a00.json,,,,7,17,1,61.74,59.54,8252.64,2262.02,1229360,47883.28,True,True,True,True,True,True,0,True,0.1,1.0,0.1,0.5,0.91,0.92,0.0166,0.166,0.0166,0.083,0.1511,0.1527,0.4167,0.1693,0.586,12,10
exp034,system_01,line,labor,3,front,a02,25,15,0,0,40,14,9,7,5,485,0.87,1,1,2,2,1,1,1,1,0.33,160,5,8,1.0,sch_front_a02.json,system_01.json,car_hd_a02.json,car_tl_a02.json,,,7,17,1,45.9,44.05,6104.45,742.58,1012520,39024.7,True,True,True,True,True,True,0,True,0.48,0.48,0.48,0.88,0.58,0.6,0.0797,0.0797,0.0797,0.1461,0.0963,0.0996,0.4018,0.1793,0.5811,13,11
exp026,system_05,workshop,quantity,5,hd,a02,40,0,0,0,40,14,9,7,5,560,1.0,1,1,2,2,1,1,1,1,0.29,160,5,8,1.0,sch_hd_a02.json,system_05.json,car_hd_a02.json,,,,7,17,1,58.8,33.79,7805.6,418.85,1286960,50116.0,True,True,True,True,True,True,0,True,0.17,0.13,0.18,0.96,1.0,1.0,0.0282,0.0216,0.0299,0.1594,0.166,0.166,0.3769,0.1942,0.5711,15,12
exp025,system_05,workshop,quantity,5,hd,a00,40,0,0,0,40,14,9,7,5,560,1.0,1,1,1,1,1,1,1,1,0.0,0,5,8,1.0,sch_hd_a00.json,system_05.json,car_hd_a00.json,,,,7,17,1,63.6,36.8,8500.8,425.15,1286960,50116.0,True,True,True,True,True,True,0,True,0.05,0.23,0.05,0.96,1.0,1.0,0.0083,0.0382,0.0083,0.1594,0.166,0.166,0.3719,0.1743,0.5462,17,13
exp038,system_02,workshop,quantity,4,front,a02,25,15,0,0,40,14,9,7,5,485,0.87,1,1,2,2,1,1,1,1,0.33,160,5,8,1.0,sch_front_a02.json,system_02.json,car_hd_a02.json,car_tl_a02.json,,,7,17,1,43.65,31.43,5807.45,340.9,1012520,39024.7,True,True,True,True,True,True,0,True,0.54,0.05,0.54,0.98,0.58,0.6,0.0896,0.0083,0.0896,0.1627,0.0963,0.0996,0.3569,0.1892,0.5461,18,14
exp033,system_01,line,labor,3,front,a00,25,15,0,0,40,14,9,7,5,485,0.87,1,1,1,1,1,1,1,1,0.0,0,5,8,1.0,sch_front_a00.json,system_01.json,car_hd_a00.json,car_tl_a00.json,,,7,17,1,52.82,51.08,7079.49,1180.18,1012520,39024.7,True,True,True,True,True,True,0,True,0.31,0.71,0.31,0.77,0.58,0.6,0.0515,0.1179,0.0515,0.1278,0.0963,0.0996,0.3935,0.1511,0.5446,19,15
exp037,system_02,workshop,quantity,4,front,a00,25,15,0,0,40,14,9,7,5,485,0.87,1,1,1,1,1,1,1,1,0.0,0,5,8,1.0,sch_front_a00.json,system_02.json,car_hd_a00.json,car_tl_a00.json,,,7,17,1,48.45,35.19,6502.65,350.2,1012520,39024.7,True,True,True,True,True,True,0,True,0.42,0.18,0.41,0.98,0.58,0.6,0.0697,0.0299,0.0681,0.1627,0.0963,0.0996,0.357,0.1693,0.5263,24,16
exp007,system_01,line,labor,3,balanced,a04,10,10,10,10,40,14,9,7,5,350,0.62,1,1,2,2,1,2,1,2,0.63,220,5,8,1.0,sch_balanced_a04.json,system_01.json,car_hd_a04.json,car_tl_a04.json,car_sa_a04.json,car_rd_a04.json,7,17,1,32.2,30.55,4233.9,462.95,814950,30340.2,True,True,True,True,True,True,0,True,0.81,0.02,0.82,0.95,0.28,0.28,0.1345,0.0033,0.1361,0.1577,0.0465,0.0465,0.3436,0.181,0.5246,25,17
exp006,system_01,line,labor,3,balanced,a02,10,10,10,10,40,14,9,7,5,350,0.62,1,1,2,2,1,1,1,1,0.4,140,5,8,1.0,sch_balanced_a02.json,system_01.json,car_hd_a02.json,car_tl_a02.json,car_sa_a02.json,car_rd_a02.json,7,17,1,38.05,36.52,5061.1,563.75,814950,30340.2,True,True,True,True,True,True,0,True,0.67,0.22,0.67,0.92,0.28,0.28,0.1112,0.0365,0.1112,0.1527,0.0465,0.0465,0.3469,0.1577,0.5046,28,18
exp005,system_01,line,labor,3,balanced,a00,10,10,10,10,40,14,9,7,5,350,0.62,1,1,1,1,1,1,1,1,0.0,0,5,8,1.0,sch_balanced_a00.json,system_01.json,car_hd_a00.json,car_tl_a00.json,car_sa_a00.json,car_rd_a00.json,7,17,1,41.85,40.5,5613.3,672.18,814950,30340.2,True,True,True,True,True,True,0,True,0.58,0.36,0.57,0.9,0.28,0.28,0.0963,0.0598,0.0946,0.1494,0.0465,0.0465,0.3503,0.1428,0.4931,30,19
exp019,system_03,line,labor,5,hd,a04,40,0,0,0,40,14,9,7,5,560,1.0,1,1,2,2,1,2,1,2,0.57,320,5,8,1.0,sch_hd_a04.json,system_03.json,car_hd_a04.json,,,,7,17,1,55.91,31.73,7328.53,3110.75,1284264,50025.1,True,True,True,True,True,True,0,True,0.24,0.06,0.26,0.29,1.0,1.0,0.0398,0.01,0.0432,0.0481,0.166,0.166,0.2673,0.2058,0.4731,40,20
exp082,system_01,line,labor,3,sa_rd,a02,5,5,20,10,40,14,9,7,5,305,0.54,1,1,2,2,1,1,1,1,0.46,140,5,8,1.0,sch_sa_rd_a02.json,system_01.json,car_hd_a02.json,car_tl_a02.json,car_sa_a02.json,car_rd_a02.json,7,17,1,35.15,33.69,4670.05,626.85,721210,26089.1,True,True,True,True,True,True,0,True,0.74,0.12,0.74,0.91,0.14,0.12,0.1228,0.0199,0.1228,0.1511,0.0232,0.0199,0.317,0.1427,0.4597,44,21
exp050,system_01,line,labor,3,rear,a02,0,0,20,20,40,14,9,7,5,240,0.43,1,1,2,2,1,1,1,1,0.5,120,5,8,1.0,sch_rear_a02.json,system_01.json,,,car_sa_a02.json,car_rd_a02.json,7,17,1,35.25,33.79,4683.8,540.5,708860,25352.8,True,True,True,True,True,True,0,True,0.74,0.13,0.74,0.93,0.12,0.1,0.1228,0.0216,0.1228,0.1544,0.0199,0.0166,0.3187,0.1394,0.4581,47,22
exp041,system_03,line,labor,5,front,a00,25,15,0,0,40,14,9,7,5,485,0.87,1,1,1,1,1,1,1,1,0.0,0,5,8,1.0,sch_front_a00.json,system_03.json,car_hd_a00.json,car_tl_a00.json,,,7,17,1,52.2,30.3,6997.65,695.38,1012520,39024.7,True,True,True,True,True,True,0,True,0.33,0.01,0.32,0.89,0.58,0.6,0.0548,0.0017,0.0531,0.1477,0.0963,0.0996,0.2988,0.1544,0.4532,49,23
exp049,system_01,line,labor,3,rear,a00,0,0,20,20,40,14,9,7,5,240,0.43,1,1,1,1,1,1,1,1,0.0,0,5,8,1.0,sch_rear_a00.json,system_01.json,,,car_sa_a00.json,car_rd_a00.json,7,17,1,38.05,36.74,5093.0,527.92,708860,25352.8,True,True,True,True,True,True,0,True,0.67,0.23,0.66,0.93,0.12,0.1,0.1112,0.0382,0.1096,0.1544,0.0199,0.0166,0.3221,0.1278,0.4499,52,24
exp081,system_01,line,labor,3,sa_rd,a00,5,5,20,10,40,14,9,7,5,305,0.54,1,1,1,1,1,1,1,1,0.0,0,5,8,1.0,sch_sa_rd_a00.json,system_01.json,car_hd_a00.json,car_tl_a00.json,car_sa_a00.json,car_rd_a00.json,7,17,1,38.95,37.67,5222.25,654.67,721210,26089.1,True,True,True,True,True,True,0,True,0.65,0.26,0.64,0.9,0.14,0.12,0.1079,0.0432,0.1062,0.1494,0.0232,0.0199,0.322,0.1278,0.4498,53,25
exp065,system_01,line,labor,3,mixed,a00,0,15,15,10,40,14,9,7,5,290,0.52,1,1,1,1,1,1,1,1,0.0,0,5,8,1.0,sch_mixed_a00.json,system_01.json,,car_tl_a00.json,car_sa_a00.json,car_rd_a00.json,7,17,1,33.95,32.95,4567.2,473.9,630860,22669.0,True,True,True,True,True,True,0,True,0.77,0.1,0.76,0.95,0.0,0.0,0.1278,0.0166,0.1262,0.1577,0.0,0.0,0.3005,0.1278,0.4283,63,26
exp017,system_03,line,labor,5,hd,a00,40,0,0,0,40,14,9,7,5,560,1.0,1,1,1,1,1,1,1,1,0.0,0,5,8,1.0,sch_hd_a00.json,system_03.json,car_hd_a00.json,,,,7,17,1,65.81,38.08,8795.38,3223.52,1271697,49575.39,True,True,True,True,True,True,0,True,0.0,0.27,0.0,0.26,0.98,0.98,0.0,0.0448,0.0,0.0432,0.1627,0.1627,0.2507,0.1627,0.4134,80,27
exp018,system_03,line,labor,5,hd,a02,40,0,0,0,40,14,9,7,5,560,1.0,1,1,2,2,1,1,1,1,0.29,160,5,8,1.0,sch_hd_a02.json,system_03.json,car_hd_a02.json,,,,7,17,1,60.88,35.01,8087.86,4252.38,1249216,48843.4,True,True,True,True,True,True,0,True,0.12,0.17,0.13,0.0,0.94,0.95,0.0199,0.0282,0.0216,0.0,0.156,0.1577,0.2058,0.1776,0.3834,93,28
